MSOA11CD,GP_dist,PO_dist,School_dist,Shop_dist
E02002337,1.053273,1.268455,0.796909,0.727182
E02002338,1.106091,1.255364,0.705091,0.682727
E02002339,0.928857,1.253929,0.712857,0.536571
E02002340,0.8887,1.1528,0.8043,0.4775
E02002341,1.094421,1.649316,0.935105,0.767158
E02002342,1.27775,1.199917,0.845333,0.642333
E02002343,1.195,1.236167,0.772917,0.618917
E02002344,1.191929,1.343357,0.896143,0.679714
E02002345,1.003867,1.270467,0.8326,0.633667
E02002346,1.067538,0.995615,0.831615,0.501769
E02002347,1.077643,1.207214,0.748571,0.649714
E02002348,0.981,1.010786,0.920857,0.570357
E02002349,1.234714,1.307714,0.863714,0.815214
E02002350,1.192154,1.126923,0.755692,0.641615
E02002351,1.751615,2.107308,1.089846,1.675615
E02002352,0.8324,0.852533,0.6864,0.467733
E02002353,0.714786,1.0975,0.728286,0.617286
E02002354,1.032357,0.811429,0.674,0.488
E02002356,1.002133,0.8668,0.6564,0.6818
E02002357,0.827692,0.713846,0.752692,0.429846
E02002358,1.41825,1.12525,0.704417,0.646
E02002359,1.253688,2.23075,0.936438,1.682625
E02002360,0.953417,0.843583,0.7815,0.535833
E02002361,0.737529,0.700529,0.763706,0.613941
E02002362,0.811667,0.8444,0.945533,0.478533
E02002363,0.747923,0.759923,0.662615,0.469462
E02002364,0.918182,0.783364,0.698636,0.544182
E02002366,0.775313,0.802688,0.827063,0.603687
E02002367,0.718882,0.926588,0.703059,0.407118
E02002368,0.94075,0.829167,0.67875,0.731583
E02002369,0.8495,0.738625,0.718188,0.52275
E02002370,1.055538,0.977231,0.729692,0.717462
E02002371,0.552059,0.775,0.590235,0.344118
E02002373,0.712133,0.7752,0.692467,0.38
E02002374,0.807467,0.9216,0.802533,0.4022
E02002375,0.9154,0.847533,0.631733,0.403
E02002376,0.578,0.717533,0.653133,0.291867
E02002377,0.443909,0.614455,0.454364,0.268545
E02002379,0.7867,0.8249,0.5672,0.5019
E02002380,0.898308,0.745385,0.559,0.418462
E02002330,1.29325,1.345125,0.84675,0.8025
E02002331,1.128857,1.135857,0.763429,0.934929
E02002332,1.074286,1.680429,0.696714,0.441429
E02002333,1.1863,1.3563,0.7496,0.5777
E02002334,1.244636,1.565455,0.870727,1.805091
E02002335,1.753941,1.781647,1.084706,1.709294
E02002336,1.211063,1.528187,0.86875,0.805938
E02002381,0.895167,0.7975,0.649917,0.6755
E02002382,0.375818,0.532636,0.409727,0.193091
E02002383,0.716364,0.449818,0.618727,0.210364
E02002384,0.66,0.826438,0.6895,0.275313
E02002385,0.63525,0.632583,0.524417,0.261417
E02002386,0.759368,1.065263,0.798684,0.564316
E02002387,0.807533,0.853067,0.606267,0.426467
E02002388,0.896462,0.975692,0.596154,0.405692
E02002389,0.776,0.809714,0.640143,0.370786
E02002390,0.742308,0.915846,0.665231,0.498846
E02002391,0.737867,0.7928,0.573733,0.4754
E02002392,0.624,0.607222,0.808778,0.304889
E02002393,0.506471,0.678353,0.572588,0.299882
E02002394,0.618833,0.609583,0.519833,0.268
E02002395,0.991818,1.094273,0.714545,0.522273
E02002396,0.947765,0.875235,0.649176,0.410706
E02002397,0.8185,0.870357,0.660929,0.465429
E02002398,0.921882,1.121,0.803882,0.542412
E02002399,0.835533,0.828533,0.672867,0.434733
E02002400,0.728438,0.713813,0.603375,0.33925
E02002401,1.072222,0.942,0.779111,0.483778
E02002402,0.9254,1.623,0.9625,0.7724
E02002403,0.89775,1.263167,0.8085,0.84475
E02002404,0.773833,0.87675,0.864833,0.517833
E02002405,1.068455,1.310545,0.620909,0.453091
E02002406,0.8616,1.3269,0.6711,0.8751
E02002407,1.210667,0.94825,0.679,0.52525
E02002408,1.052545,1.174818,0.687182,0.451636
E02002409,1.244688,0.996438,0.8815,0.546063
E02002410,0.979429,0.849143,0.698357,0.423
E02002411,0.606643,0.722143,0.729214,0.327786
E02002412,1.321733,0.951933,0.894267,0.495333
E02002414,0.5898,0.659667,0.59,0.282067
E02002415,0.657083,0.6175,0.502667,0.247917
E02002416,1.244353,0.948471,0.830588,0.728941
E02002417,0.886118,1.404176,0.830706,0.906706
E02002418,0.8585,0.8301,0.7937,0.6783
E02002419,1.090625,0.802688,0.844188,0.460188
E02002420,1.00225,0.808333,0.710583,0.404083
E02002421,1.3348,0.9167,1.0039,0.5882
E02002422,1.134154,0.939308,0.788846,0.586
E02002423,1.408,0.828667,0.889167,0.568667
E02002424,1.113286,0.879214,0.8695,0.585286
E02002425,0.968889,0.862444,0.929778,0.572444
E02002426,1.0335,0.8884,0.8581,0.6613
E02002427,1.2022,1.0019,0.7666,0.6927
E02002428,1.477467,0.845067,0.701,0.5372
E02002429,1.32564,1.01492,0.9182,0.67372
E02002430,1.514462,0.953,0.762,0.561846
E02002431,1.138273,1.291545,0.894364,0.593727
E02002432,1.046636,0.951909,0.865545,0.869909
E02002433,1.0772,1.3124,0.842133,0.600067
E02002434,1.6133,1.1008,0.8656,0.6763
E02002435,1.19,1.164778,0.776111,0.558944
E02002436,1.602667,1.031778,0.732667,0.623889
E02002437,1.557556,0.801444,0.801778,0.560556
E02006852,0.759227,0.804318,0.908864,0.503818
E02006861,0.775882,0.696294,0.651824,0.342235
E02006875,0.799667,0.925667,1.108067,0.394467
E02006876,1.183579,0.965105,1.005,0.430158
